date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-06-18,1,ACLBSL,40.38,1057.85,1060.0,1041.0,1044.31,1044.0,0.31,0.0,1045.28,723.0,1057.85,755735.3,26,-13.54,19.00,-1.28,1.83,-0.09,"1,491.00",951.00
2025-06-18,2,ADBL,24.1,285.0,288.0,284.0,285.52,285.9,0.38,0.0,285.59,17243.0,284.77,4924385.6,132,0.75,4.00,0.26,1.41,-0.02,428.40,256.00
2025-06-18,3,ADBLD83,41.22,1097.0,1097.0,1080.0,1080.0,1080.0,0.0,0.0,1084.23,65.0,1077.0,70475.0,4,3.00,17.00,0.28,1.57,-0.39,"1,160.00","1,046.00"
2025-06-18,4,AHL,29.26,610.5,612.0,590.0,599.35,595.0,4.35,0.01,599.87,6273.0,607.79,3763012.7,93,-8.44,22.00,-1.39,3.73,-0.09,904.00,482.60
2025-06-18,5,AHPC,26.58,294.0,307.0,294.0,296.76,297.9,1.14,0.0,298.37,376357.0,298.66,112293054.6,953,-1.90,13.00,-0.64,4.42,-0.54,349.00,149.00
2025-06-18,6,AKJCL,35.6,210.0,213.5,210.0,211.23,211.9,0.67,0.0,211.77,123710.0,209.72,26197602.5,402,1.51,3.50,0.72,1.67,-0.25,274.90,150.90
2025-06-18,7,AKPL,25.8,278.0,283.0,275.6,277.98,278.0,0.02,0.0,278.5,467900.0,278.24,130309764.3,1285,-0.26,7.40,-0.09,2.69,-0.19,326.00,157.20
2025-06-18,8,ALBSL,22.37,823.0,823.0,802.0,806.68,806.0,0.68,0.0,806.7,1367.0,807.58,1102761.8,43,-0.90,21.00,-0.11,2.62,0.00,"1,177.00",771.00
2025-06-18,9,ALICL,35.07,495.2,504.0,495.2,500.28,500.0,0.28,0.0,500.05,14101.0,498.13,7051236.9,85,2.15,8.80,0.43,1.78,0.05,831.00,493.00
2025-06-18,10,ANLB,28.68,5445.0,5550.0,5346.1,5538.4,5550.0,11.6,0.0,5469.12,936.0,5555.5,5119091.9,34,-17.10,203.90,-0.31,3.81,1.25,"6,735.00","2,290.10"
2025-06-18,11,API,28.19,295.0,304.0,295.0,298.1,297.0,1.1,0.0,298.5,326931.0,299.55,97587749.2,812,-1.45,9.00,-0.48,3.05,-0.13,390.00,164.00
2025-06-18,12,AVYAN,36.29,1003.0,1035.0,1003.0,1007.99,1008.1,0.11,0.0,1016.02,3710.0,1022.88,3769434.0,55,-14.89,32.00,-1.46,3.19,-0.80,"1,306.80",832.00
2025-06-18,13,BARUN,45.8,374.0,392.0,361.0,387.92,390.0,2.08,0.01,376.93,271048.0,366.7,102167381.4,1018,21.22,31.00,5.79,8.59,2.83,589.00,290.00
2025-06-18,14,BBC,36.93,5446.1,5593.0,5446.1,5526.27,5500.0,26.27,0.0,5518.41,249.0,5535.7,1374084.9,24,-9.43,146.90,-0.17,2.70,0.14,"7,247.00","3,851.00"
2025-06-18,15,BEDC,47.03,714.9,771.0,675.0,761.05,695.0,66.05,0.1,721.08,118031.0,729.46,85109797.4,341,31.59,96.00,4.33,14.22,5.25,"1,080.00",395.00
2025-06-18,16,BFC,24.49,489.1,489.1,475.0,475.88,476.3,0.42,0.0,477.96,9446.0,479.6,4514765.3,108,-3.72,14.10,-0.78,2.97,-0.44,951.60,440.00
2025-06-18,17,BGWT,30.05,935.9,935.9,901.6,918.86,920.0,1.14,0.0,914.64,1340.0,917.58,1225616.0,40,1.28,34.30,0.14,3.80,0.46,"1,241.00",857.60
2025-06-18,18,BHDC,47.93,495.0,506.0,485.1,490.61,490.0,0.61,0.0,495.47,49702.0,497.7,24625994.0,347,-7.09,20.90,-1.42,4.31,-0.99,829.70,426.00
2025-06-18,19,BHL,37.15,212.0,215.5,210.1,212.41,213.0,0.59,0.0,212.78,196163.0,211.66,41739305.7,688,0.75,5.40,0.35,2.57,-0.17,520.00,209.00
2025-06-18,20,BHPL,32.98,761.1,781.1,758.0,759.54,759.0,0.54,0.0,761.62,3973.0,769.3,3025916.3,95,-9.76,23.10,-1.27,3.05,-0.27,"1,308.40",615.00
2025-06-18,21,BNHC,25.16,522.9,522.9,503.0,505.82,514.9,9.08,0.02,507.76,7173.0,515.67,3642171.4,106,-9.85,19.90,-1.91,3.96,-0.38,742.00,440.00
2025-06-18,22,BNL,40.59,16700.0,16700.0,16700.0,16700.0,16700.0,0.0,0.0,16700.0,10.0,16700.0,167000.0,1,0.00,0.00,0.00,0.00,0.00,"22,500.00","14,900.00"
2025-06-18,23,BNT,42.49,12500.5,12500.5,12450.0,12478.0,12478.0,0.0,0.0,12475.64,90.0,12696.84,1122808.0,9,-218.84,50.50,-1.72,0.41,0.02,"18,100.00","12,300.00"
2025-06-18,24,BPCL,34.98,821.0,885.2,821.0,877.13,878.8,1.67,0.0,857.45,528656.0,828.98,453298214.5,2583,48.15,64.20,5.81,7.82,2.24,885.20,286.00
2025-06-18,25,C30MF,42.8,9.45,9.82,9.3,9.81,9.82,0.01,0.0,9.59,7850.0,9.27,75299.0,10,0.54,0.52,5.83,5.59,2.22,10.92,8.45
2025-06-18,26,CBBL,35.5,915.0,915.0,893.0,896.58,896.2,0.38,0.0,898.1,13406.0,904.84,12039936.7,123,-8.26,22.00,-0.91,2.46,-0.17,"1,155.00",815.00
2025-06-18,27,CBLD88,20.92,1126.0,1126.0,1126.0,1126.0,1126.0,0.0,0.0,1126.0,25.0,1130.0,28150.0,1,-4.00,0.00,-0.35,0.00,0.00,"1,254.20","1,030.00"
2025-06-18,28,CFCL,26.6,513.0,530.0,511.0,514.0,513.0,1.0,0.0,517.58,14433.0,511.07,7470222.7,111,2.93,19.00,0.57,3.72,-0.70,820.00,420.00
2025-06-18,29,CGH,44.18,1043.5,1043.5,976.1,996.84,984.0,12.84,0.01,1014.55,202952.0,1023.18,205904751.5,1111,-26.34,67.40,-2.57,6.91,-1.78,"1,360.00",833.00
2025-06-18,30,CHCL,30.92,577.0,582.1,571.0,574.9,577.0,2.1,0.0,576.91,306230.0,574.13,176668559.1,1073,0.77,11.10,0.13,1.94,-0.35,697.00,427.00
2025-06-18,31,CHDC,25.62,2598.8,2598.8,2538.1,2541.09,2538.1,2.99,0.0,2554.81,39919.0,2564.97,101985507.2,457,-23.88,60.70,-0.93,2.39,-0.54,"2,829.00",976.10
2025-06-18,32,CHL,42.98,314.7,315.0,303.0,307.38,306.4,0.98,0.0,307.72,40814.0,309.14,12559270.8,193,-1.76,12.00,-0.57,3.96,-0.11,599.70,276.00
2025-06-18,33,CIT,28.4,1886.0,1898.0,1886.0,1890.21,1891.0,0.79,0.0,1891.39,10782.0,1893.47,20392986.2,205,-3.26,12.00,-0.17,0.64,-0.06,"2,700.00","1,885.00"
2025-06-18,34,CITY,41.0,840.4,863.0,840.0,841.82,842.2,0.38,0.0,846.99,3899.0,852.45,3302422.9,73,-10.63,23.00,-1.25,2.74,-0.61,"1,168.50",673.10
