date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-18,1,ACLBSL,25.91,915.0,915.0,901.2,901.2,901.2,0.0,0.0,907.77,1334.0,919.0,1210962.8,34,-17.80,13.80,-1.94,1.53,-0.73,961.09,962.57,"1,157.00",827.90
2026-08-18,2,ADBL,30.92,302.0,302.0,295.5,300.0,300.0,0.0,0.0,299.0,45445.0,302.2,13588037.6,213,-2.20,6.50,-0.73,2.20,0.33,311.70,308.00,340.00,285.20
2026-08-18,3,ADBLB87,22.09,1015.0,1015.0,1012.0,1012.0,1012.0,0.0,0.0,1013.6,500000.0,1016.0,506800000.0,5,-4.00,3.00,-0.39,0.30,-0.16,0.00,0.00,"1,016.00","1,000.00"
2026-08-18,4,AHL,29.65,415.0,415.0,403.1,408.0,408.0,0.0,0.0,409.0,2086.0,419.0,853176.0,37,-11.00,11.90,-2.63,2.95,-0.25,483.83,514.99,699.00,403.10
2026-08-18,5,AHPC,35.63,263.6,264.0,260.0,260.0,260.0,0.0,0.0,261.15,115810.0,263.4,30244257.2,331,-3.40,4.00,-1.29,1.54,-0.44,279.32,277.84,323.30,250.10
2026-08-18,6,AKJCL,25.73,360.0,360.0,349.1,349.1,349.1,0.0,0.0,353.05,355959.0,355.5,125671914.4,706,-6.40,10.90,-1.80,3.12,-1.13,378.15,329.02,461.40,172.90
2026-08-18,7,AKPL,33.84,251.6,253.0,247.4,249.0,249.0,0.0,0.0,249.22,96495.0,252.0,24048709.4,313,-3.00,5.60,-1.19,2.26,-0.09,268.79,263.18,317.00,227.50
2026-08-18,8,ALBSL,25.55,1065.0,1126.0,1065.0,1101.9,1101.9,0.0,0.0,1092.19,8104.0,1094.5,8851124.6,82,7.40,61.00,0.68,5.73,0.88,"1,119.98","1,125.89","1,334.00",930.00
2026-08-18,9,ALICL,35.21,420.0,421.0,414.0,415.0,415.0,0.0,0.0,417.71,27054.0,421.6,11300647.0,146,-6.60,7.00,-1.57,1.69,-0.65,449.38,456.21,507.00,413.40
2026-08-18,10,ANLB,29.39,5220.0,5319.0,5175.1,5225.0,5225.0,0.0,0.0,5221.11,2311.0,5310.0,12065976.0,46,-85.00,143.90,-1.60,2.78,0.07,"6,128.50","6,132.19","7,560.00","5,175.10"
2026-08-18,11,APHL,21.39,775.0,786.9,750.1,750.4,750.4,0.0,0.0,767.55,26653.0,782.0,20457400.8,414,-31.60,36.80,-4.04,4.91,-2.28,0.00,0.00,"1,053.40",299.70
2026-08-18,12,API,32.43,333.0,336.9,329.0,330.0,330.0,0.0,0.0,330.67,117926.0,332.6,38994402.5,420,-2.60,7.90,-0.78,2.40,-0.20,339.19,323.14,370.00,258.80
2026-08-18,13,AVYAN,29.35,1055.0,1083.9,1023.5,1023.5,1023.5,0.0,0.0,1037.49,5769.0,1069.0,5985285.2,75,-45.50,60.40,-4.26,5.90,-1.37,"1,089.32","1,046.89","1,366.00",906.00
2026-08-18,14,BANDIPUR,33.11,700.8,703.9,685.1,686.0,686.0,0.0,0.0,693.18,22497.0,700.8,15594527.1,282,-14.80,18.80,-2.11,2.74,-1.05,820.87,828.72,"1,233.00",285.00
2026-08-18,15,BARUN,34.89,320.0,325.6,315.0,317.0,317.0,0.0,0.0,317.21,19590.0,316.2,6214049.7,108,0.80,10.60,0.25,3.37,-0.06,342.60,341.32,401.50,292.10
2026-08-18,16,BBC,18.35,4128.0,4190.0,4095.0,4108.0,4108.0,0.0,0.0,4133.98,220.0,4089.0,909476.0,19,19.00,95.00,0.46,2.32,-0.63,"4,576.04","4,674.64","5,600.00","3,825.00"
2026-08-18,17,BEDC,34.64,315.0,316.0,308.0,313.5,313.5,0.0,0.0,310.35,24233.0,316.9,7520623.1,149,-3.40,8.00,-1.07,2.60,1.01,394.58,445.04,774.90,303.10
2026-08-18,18,BFC,34.74,479.0,487.9,475.2,485.0,485.0,0.0,0.0,482.23,43951.0,483.5,21194393.7,141,1.50,12.70,0.31,2.67,0.57,487.87,482.98,562.00,411.50
2026-08-18,19,BGWT,26.62,522.0,533.0,500.0,500.0,500.0,0.0,0.0,520.47,3407.0,519.0,1773256.4,61,-19.00,33.00,-3.66,6.60,-4.09,664.60,700.66,944.00,500.00
2026-08-18,20,BHCL,49.5,560.0,574.0,552.0,552.0,552.0,0.0,0.0,561.57,126207.0,554.0,70874088.0,773,-2.00,22.00,-0.36,3.99,-1.73,543.74,540.70,699.00,292.10
2026-08-18,21,BHDC,31.43,424.0,429.9,424.0,424.2,424.2,0.0,0.0,424.95,5449.0,427.0,2315559.7,52,-2.80,5.90,-0.66,1.39,-0.18,459.43,467.26,616.00,412.00
2026-08-18,22,BHL,36.04,218.0,218.0,206.2,207.6,207.6,0.0,0.0,207.23,67315.0,208.4,13949872.1,309,-0.80,11.80,-0.38,5.72,0.18,218.60,207.69,264.40,164.00
2026-08-18,23,BHPL,20.56,510.3,510.3,470.0,479.0,479.0,0.0,0.0,471.26,2210.0,486.0,1041480.0,27,-7.00,40.30,-1.44,8.57,1.62,528.58,548.65,820.00,449.00
2026-08-18,24,BJHL,40.01,735.0,746.0,714.0,714.0,714.0,0.0,0.0,735.0,19120.0,737.0,14053178.5,221,-23.00,32.00,-3.12,4.48,-2.94,0.00,0.00,"1,305.00",270.10
2026-08-18,25,BNHC,30.17,282.3,283.0,277.0,280.0,280.0,0.0,0.0,279.55,23950.0,282.3,6695158.7,120,-2.30,6.00,-0.81,2.17,0.16,325.54,373.64,613.80,261.30
2026-08-18,26,BNT,38.05,11600.0,11600.0,11600.0,11600.0,11600.0,0.0,0.0,11600.0,20.0,11552.0,232000.0,1,48.00,0.00,0.42,0.00,0.00,"11,708.04","11,720.12","12,760.00","10,660.00"
2026-08-18,27,BPCL,28.88,644.0,644.0,638.0,638.0,638.0,0.0,0.0,639.97,7966.0,644.0,5097998.1,76,-6.00,6.00,-0.93,0.94,-0.31,684.74,702.60,874.00,612.00
2026-08-18,28,BUNGAL,38.22,601.0,619.0,590.0,594.9,594.9,0.0,0.0,600.99,26037.0,606.0,15647873.2,249,-11.10,29.00,-1.83,4.92,-1.02,641.85,640.98,895.00,302.40
2026-08-18,29,CBBL,40.94,939.9,940.0,932.0,936.0,936.0,0.0,0.0,937.9,9843.0,935.0,9231714.5,147,1.00,8.00,0.11,0.86,-0.20,923.68,940.75,"1,124.00",882.00
2026-08-18,30,CCBD88,32.01,1190.0,1190.0,1190.0,1190.0,1190.0,0.0,0.0,1190.0,25.0,1205.0,29750.0,1,-15.00,0.00,-1.24,0.00,0.00,"1,216.10","1,195.89","1,326.00","1,126.00"
